"gene_id","direction"
"Solyc00g050130.1","down_both_tissues"
"Solyc01g096200.3","down_both_tissues"
"Solyc02g062550.3","down_both_tissues"
"Solyc02g064680.3","down_both_tissues"
"Solyc02g069910.2","down_both_tissues"
"Solyc02g077470.3","down_both_tissues"
"Solyc02g080160.3","down_both_tissues"
"Solyc02g085400.3","down_both_tissues"
"Solyc02g091730.2","down_both_tissues"
"Solyc03g019890.3","down_both_tissues"
"Solyc03g025810.3","down_both_tissues"
"Solyc03g093080.3","down_both_tissues"
"Solyc03g093120.3","down_both_tissues"
"Solyc03g097380.3","down_both_tissues"
"Solyc03g098140.3","down_both_tissues"
"Solyc05g050210.3","down_both_tissues"
"Solyc06g066600.3","down_both_tissues"
"Solyc06g066740.2","down_both_tissues"
"Solyc06g075580.3","down_both_tissues"
"Solyc06g076400.3","down_both_tissues"
"Solyc07g041620.1","down_both_tissues"
"Solyc08g075320.3","down_both_tissues"
"Solyc08g077210.3","down_both_tissues"
"Solyc08g077560.3","down_both_tissues"
"Solyc10g019170.2","down_both_tissues"
"Solyc10g080360.1","down_both_tissues"
"Solyc10g085720.2","down_both_tissues"
"Solyc11g068440.2","down_both_tissues"
