cluster,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,p_adjust,significant
0,leaf_up,1,100,1031,0.32,0.9535649425890904,1.0,False
0,leaf_down,6,100,1048,2.02,0.0871753488408678,1.0,False
0,root_up,20,100,1653,4.97,5.7064143120847875e-08,2.9673354422840893e-06,True
0,root_down,3,100,875,1.18,0.4730921739953861,1.0,False
1,leaf_up,3,100,1031,0.99,0.5847885302648883,1.0,False
1,leaf_down,13,100,1048,4.77,1.1842644288366754e-05,0.000615817502995,True
1,root_up,25,100,1653,6.65,7.827273574725149e-12,4.070182258857077e-10,True
1,root_down,5,100,875,2.01,0.1138542720662183,1.0,False
2,leaf_up,10,100,1031,3.59,0.0008959311154795,0.0465884180049391,True
2,leaf_down,10,100,1048,3.54,0.0010060613819989,0.0523151918639473,False
2,root_up,12,100,1653,2.7,0.0032213044556374,0.1675078316931479,False
2,root_down,2,100,875,0.78,0.7289045754044671,1.0,False
3,leaf_up,2,100,1031,0.65,0.8085959982133405,1.0,False
3,leaf_down,6,100,1048,2.02,0.0871753488408678,1.0,False
3,root_up,17,100,1653,4.06,5.819013332730232e-06,0.0003025886933019,True
3,root_down,2,100,875,0.78,0.7289045754044671,1.0,False
4,leaf_up,13,100,1031,4.85,1.0065656151981757e-05,0.000523414119903,True
4,leaf_down,2,100,1048,0.64,0.8154076543528846,1.0,False
4,root_up,18,100,1653,4.36,1.3278852803710028e-06,6.905003457929215e-05,True
4,root_down,0,100,875,0.0,1.0,1.0,False
5,leaf_up,10,100,1031,3.59,0.0008959311154795,0.0465884180049391,True
5,leaf_down,4,100,1048,1.32,0.3676411403711526,1.0,False
5,root_up,1,100,1653,0.2,0.9930063381247536,1.0,False
5,root_down,1,100,875,0.38,0.9253863331749024,1.0,False
6,leaf_up,3,100,1031,0.99,0.5847885302648883,1.0,False
6,leaf_down,3,100,1048,0.98,0.5952761965128306,1.0,False
6,root_up,2,100,1653,0.4,0.9573686086023194,1.0,False
6,root_down,1,100,875,0.38,0.9253863331749024,1.0,False
7,leaf_up,5,100,1031,1.69,0.1850573090906453,1.0,False
7,leaf_down,13,100,1048,4.77,1.1842644288366754e-05,0.000615817502995,True
7,root_up,29,100,1653,8.17,2.4496403568935407e-15,1.273812985584641e-13,True
7,root_down,5,100,875,2.01,0.1138542720662183,1.0,False
8,leaf_up,7,100,1031,2.43,0.0319181299934734,1.0,False
8,leaf_down,14,100,1048,5.2,2.2636778795012427e-06,0.000117711249734,True
8,root_up,24,100,1653,6.29,5.177665028337135e-11,2.69238581473531e-09,True
8,root_down,8,100,875,3.33,0.0041827835294861,0.2175047435332799,False
9,leaf_up,1,100,1031,0.32,0.9535649425890904,1.0,False
9,leaf_down,5,100,1048,1.67,0.1930691494968555,1.0,False
9,root_up,13,100,1653,2.96,0.0010622246839251,0.0552356835641084,False
9,root_down,0,100,875,0.0,1.0,1.0,False
10,leaf_up,7,100,1031,2.43,0.0319181299934734,1.0,False
10,leaf_down,5,100,1048,1.67,0.1930691494968555,1.0,False
10,root_up,6,100,1653,1.26,0.354225543359411,1.0,False
10,root_down,5,100,875,2.01,0.1138542720662183,1.0,False
11,leaf_up,7,100,1031,2.43,0.0319181299934734,1.0,False
11,leaf_down,5,100,1048,1.67,0.1930691494968555,1.0,False
11,root_up,24,100,1653,6.29,5.177665028337135e-11,2.69238581473531e-09,True
11,root_down,2,100,875,0.78,0.7289045754044671,1.0,False
12,leaf_up,0,100,1031,0.0,1.0,1.0,False
12,leaf_down,26,100,1048,11.37,2.6480975265315198e-17,1.37701071379639e-15,True
12,root_up,2,100,1653,0.4,0.9573686086023194,1.0,False
12,root_down,7,100,875,2.88,0.0144144664860854,0.7495522572764458,False
